seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0700,-0.3914,0.0865,-0.0446,2.7961,-9.0948,2.3741,0.0011,0.0894,0.0006
0.0800,-0.1975,0.0967,0.0218,2.7992,-9.0943,2.3724,-0.0112,0.0727,0.0257
0.0900,-0.0617,0.0589,0.0195,2.8041,-9.0929,2.3719,-0.0167,0.0683,0.0419
0.1000,-0.1096,-0.0259,-0.0365,2.8094,-9.0914,2.3717,-0.0164,0.0499,0.0402
0.1100,-0.2550,-0.0678,-0.0833,2.8132,-9.0901,2.3721,-0.0138,0.0194,0.0250
0.1200,-0.3042,-0.0226,-0.0998,2.8146,-9.0894,2.3730,-0.0104,-0.0014,0.0014
0.1300,-0.2133,0.0085,-0.1103,2.8138,-9.0894,2.3739,-0.0063,-0.0059,-0.0144
0.1400,-0.0252,0.0379,-0.1180,2.8124,-9.0897,2.3746,-0.0055,-0.0025,-0.0114
0.1500,0.1665,0.0638,-0.1212,2.8121,-9.0897,2.3749,-0.0047,0.0097,0.0046
0.1600,0.2761,0.0151,-0.1191,2.8139,-9.0892,2.3748,-0.0038,0.0276,0.0265
0.1700,0.2603,-0.0536,-0.1312,2.8179,-9.0881,2.3741,-0.0028,0.0426,0.0411
0.1800,0.0224,-0.1090,-0.1142,2.8228,-9.0869,2.3728,0.0018,0.0500,0.0419
0.1900,-0.2146,-0.0983,-0.0481,2.8274,-9.0860,2.3710,0.0044,0.0526,0.0320
0.2000,-0.2586,-0.0599,-0.0111,2.8308,-9.0854,2.3691,0.0021,0.0528,0.0167
0.2100,-0.2074,0.0044,-0.0269,2.8330,-9.0850,2.3678,-0.0027,0.0427,0.0073
0.2200,-0.1557,0.0687,-0.0435,2.8345,-9.0847,2.3673,-0.0070,0.0271,0.0077
0.2300,-0.0864,0.0608,-0.0753,2.8360,-9.0842,2.3673,-0.0067,0.0144,0.0110
0.2400,-0.0171,0.0120,-0.1122,2.8375,-9.0837,2.3674,-0.0023,0.0081,0.0109
0.2500,-0.0181,-0.0292,-0.1170,2.8387,-9.0835,2.3671,0.0023,0.0068,0.0095
0.2600,-0.0509,-0.0639,-0.0743,2.8397,-9.0833,2.3664,0.0072,0.0095,0.0104
0.2700,-0.0808,-0.0743,0.0188,2.8409,-9.0833,2.3650,0.0117,0.0170,0.0127
0.2800,-0.0754,0.0005,0.1029,2.8423,-9.0833,2.3635,0.0085,0.0183,0.0117
0.2900,-0.0647,0.0703,0.1158,2.8434,-9.0831,2.3628,-0.0007,0.0083,0.0111
0.3000,-0.0577,0.0891,0.0948,2.8445,-9.0827,2.3631,-0.0080,-0.0021,0.0135
0.3100,-0.0913,0.0638,0.0151,2.8455,-9.0821,2.3643,-0.0133,-0.0057,0.0109
0.3200,-0.1466,-0.0073,-0.0944,2.8460,-9.0815,2.3657,-0.0151,-0.0099,0.0041
0.3300,-0.1503,-0.0812,-0.1356,2.8456,-9.0812,2.3672,-0.0117,-0.0141,-0.0057
0.3400,-0.1287,-0.1175,-0.1476,2.8441,-9.0814,2.3683,-0.0035,-0.0137,-0.0176
0.3500,-0.1241,-0.1256,-0.1484,2.8418,-9.0821,2.3686,0.0057,-0.0144,-0.0240
0.3600,-0.0438,-0.0654,-0.0379,2.8393,-9.0829,2.3683,0.0122,-0.0156,-0.0234
0.3700,0.0363,-0.0052,0.0733,2.8370,-9.0839,2.3674,0.0172,-0.0085,-0.0184
0.3800,0.0831,0.0557,0.1226,2.8355,-9.0847,2.3662,0.0107,-0.0029,-0.0119
0.3900,0.1053,0.1285,0.1727,2.8344,-9.0851,2.3660,-0.0014,-0.0118,-0.0085
0.4000,0.0409,0.0960,0.1026,2.8330,-9.0853,2.3668,-0.0030,-0.0250,-0.0114
