seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.12,-2.27,-8.73,5.88,8.77,4.36,0.39,0.17,-0.09,-0.06
0.13,-2.32,-8.69,6.02,8.77,4.36,0.40,0.17,-0.09,-0.06
0.14,-2.35,-8.65,6.10,8.78,4.35,0.42,0.20,-0.10,-0.08
0.15,-2.45,-8.63,5.96,8.78,4.34,0.44,0.26,-0.10,-0.13
0.16,-2.62,-8.57,5.67,8.79,4.33,0.46,0.23,-0.09,-0.14
0.17,-2.47,-8.44,5.28,8.79,4.32,0.48,0.23,-0.12,-0.14
0.18,-2.41,-8.43,5.28,8.80,4.30,0.50,0.22,-0.18,-0.17
0.19,-2.50,-8.60,5.51,8.80,4.29,0.53,0.21,-0.22,-0.23
0.20,-2.61,-8.91,5.82,8.81,4.26,0.55,0.22,-0.20,-0.29
0.21,-2.68,-9.37,5.72,8.83,4.23,0.58,0.24,-0.16,-0.35
0.22,-2.75,-9.48,5.46,8.84,4.20,0.61,0.24,-0.13,-0.38
0.23,-2.92,-9.32,5.59,8.86,4.16,0.63,0.23,-0.14,-0.35
0.24,-3.13,-9.17,5.66,8.87,4.12,0.66,0.24,-0.17,-0.27
0.25,-3.28,-9.02,5.49,8.88,4.09,0.69,0.27,-0.17,-0.20
0.26,-3.24,-8.91,5.20,8.89,4.07,0.72,0.26,-0.15,-0.12
0.27,-2.97,-8.92,4.97,8.90,4.05,0.75,0.26,-0.13,-0.07
0.28,-2.74,-8.79,4.82,8.90,4.04,0.78,0.25,-0.13,-0.11
0.29,-2.71,-8.56,5.05,8.91,4.02,0.80,0.25,-0.15,-0.16
0.30,-2.85,-8.63,5.39,8.92,4.00,0.83,0.24,-0.16,-0.23
0.31,-2.96,-8.78,5.48,8.93,3.96,0.86,0.23,-0.12,-0.28
0.32,-3.09,-8.91,5.27,8.94,3.93,0.88,0.22,-0.09,-0.27
0.33,-3.36,-9.00,5.15,8.95,3.90,0.91,0.22,-0.10,-0.25
0.34,-3.42,-9.13,5.14,8.96,3.87,0.93,0.22,-0.12,-0.21
0.35,-3.32,-9.19,5.03,8.97,3.84,0.96,0.23,-0.12,-0.16
0.36,-3.02,-8.96,5.05,8.98,3.82,0.98,0.21,-0.12,-0.12
0.37,-3.09,-8.94,5.09,8.98,3.80,1.01,0.22,-0.16,-0.14
0.38,-3.54,-8.98,5.03,8.99,3.78,1.04,0.19,-0.14,-0.17
0.39,-3.63,-8.87,5.10,9.00,3.74,1.08,0.11,-0.03,-0.16
0.40,-3.14,-9.01,4.95,9.02,3.67,1.12,0.06,0.08,-0.14
0.41,-2.89,-9.03,4.82,9.04,3.62,1.15,0.06,0.09,-0.15
0.42,-3.42,-9.04,4.82,9.06,3.56,1.18,0.10,0.00,-0.18
0.43,-4.00,-9.09,4.57,9.08,3.49,1.22,0.11,-0.03,-0.18
0.44,-4.09,-8.92,4.33,9.10,3.44,1.26,0.04,0.03,-0.04
0.45,-3.87,-8.93,4.19,9.11,3.40,1.29,-0.03,0.08,0.12
0.46,-3.29,-8.83,4.17,9.11,3.39,1.30,-0.08,0.11,0.22
0.47,-2.93,-8.50,4.62,9.11,3.41,1.29,-0.10,0.09,0.27
0.48,-3.02,-8.31,5.09,9.10,3.42,1.29,-0.08,0.03,0.20
0.49,-3.05,-8.10,5.32,9.10,3.43,1.29,-0.03,0.02,0.09
0.50,-2.85,-7.99,5.32,9.10,3.43,1.30,0.03,0.04,-0.01
0.51,-2.77,-8.19,5.20,9.10,3.42,1.30,0.08,0.02,-0.10
0.52,-3.21,-8.52,4.81,9.11,3.39,1.31,0.15,-0.02,-0.21
0.53,-3.62,-8.58,4.36,9.12,3.36,1.32,0.14,-0.00,-0.24
0.54,-3.55,-8.64,4.11,9.13,3.33,1.34,0.09,0.03,-0.15
0.55,-3.42,-8.56,4.26,9.13,3.31,1.34,0.05,0.02,-0.08
