seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0600,0.7689,0.0591,-0.0776,2.7231,-8.6579,3.7143,-0.0298,0.0334,-0.0151
0.0700,0.7012,0.0683,-0.0924,2.7321,-8.6554,3.7134,-0.0248,0.1999,0.1160
0.0800,0.5704,0.0104,-0.0603,2.7571,-8.6499,3.7079,-0.0234,0.3467,0.2132
0.0900,0.3663,-0.0412,-0.1096,2.7930,-8.6424,3.6985,-0.0149,0.4422,0.2676
0.1000,0.1185,-0.0304,-0.1630,2.8339,-8.6343,3.6863,-0.0043,0.4609,0.2776
0.1100,-0.1197,0.0255,-0.1648,2.8730,-8.6266,3.6739,-0.0026,0.4025,0.2467
0.1200,-0.3229,0.0477,-0.1594,2.9046,-8.6202,3.6642,-0.0094,0.2909,0.1794
0.1300,-0.4982,0.0269,-0.2042,2.9242,-8.6159,3.6586,-0.0094,0.1481,0.0840
0.1400,-0.6203,-0.0144,-0.2324,2.9295,-8.6147,3.6572,-0.0049,-0.0085,-0.0207
0.1500,-0.6689,-0.0719,-0.1956,2.9205,-8.6167,3.6598,-0.0011,-0.1510,-0.1160
0.1600,-0.6174,-0.1001,-0.1413,2.8996,-8.6212,3.6657,0.0037,-0.2570,-0.1868
0.1700,-0.4326,-0.0713,-0.0625,2.8709,-8.6275,3.6735,0.0081,-0.3180,-0.2223
0.1800,-0.1661,-0.0096,0.0338,2.8395,-8.6343,3.6820,0.0096,-0.3274,-0.2207
0.1900,0.1282,0.0525,0.1065,2.8103,-8.6404,3.6901,0.0052,-0.2816,-0.1863
0.2000,0.4039,0.0811,0.1540,2.7877,-8.6449,3.6966,-0.0020,-0.1901,-0.1281
0.2100,0.5891,0.0799,0.1780,2.7747,-8.6473,3.7008,-0.0094,-0.0701,-0.0574
0.2200,0.6611,0.0616,0.1552,2.7727,-8.6474,3.7021,-0.0170,0.0566,0.0139
0.2300,0.5975,0.0388,0.0851,2.7808,-8.6454,3.7006,-0.0204,0.1645,0.0720
0.2400,0.4088,0.0010,-0.0024,2.7961,-8.6422,3.6965,-0.0166,0.2356,0.1039
0.2500,0.1850,-0.0456,-0.0772,2.8149,-8.6387,3.6904,-0.0145,0.2830,0.1024
0.2600,0.0746,-0.0447,-0.1861,2.8337,-8.6361,3.6822,-0.0027,0.3449,0.0592
0.2700,-0.0610,0.0059,-0.2105,2.8494,-8.6356,3.6713,0.0213,0.3411,0.0030
0.2800,-0.3110,0.0374,-0.0300,2.8585,-8.6370,3.6609,0.0266,0.2201,-0.0351
0.2900,-0.4629,0.0668,0.0739,2.8594,-8.6395,3.6542,0.0284,0.0868,-0.0758
0.3000,-0.4550,0.0990,0.0838,2.8523,-8.6436,3.6500,0.0406,0.0025,-0.1228
0.3100,-0.2819,0.0408,0.1441,2.8393,-8.6495,3.6463,0.0562,-0.0305,-0.1589
0.3200,-0.0481,-0.0273,0.1315,2.8236,-8.6568,3.6411,0.0824,-0.0167,-0.1798
0.3300,0.1514,-0.0539,0.0577,2.8078,-8.6657,3.6322,0.1181,0.0316,-0.1848
0.3400,0.3162,-0.1004,0.0197,2.7945,-8.6757,3.6185,0.1519,0.0991,-0.1726
0.3500,0.4494,-0.1450,0.0065,2.7856,-8.6862,3.6001,0.1797,0.1780,-0.1444
0.3600,0.5746,-0.1900,0.0098,2.7826,-8.6968,3.5767,0.2113,0.2784,-0.1094
0.3700,0.7044,-0.2221,0.0501,2.7867,-8.7076,3.5471,0.2496,0.4023,-0.0755
0.3800,0.7616,-0.2026,0.1069,2.7980,-8.7189,3.5104,0.2861,0.5247,-0.0456
0.3900,0.7154,-0.1382,0.1684,2.8152,-8.7303,3.4680,0.3040,0.6230,-0.0241
0.4000,0.5576,0.0299,0.2174,2.8361,-8.7413,3.4229,0.2936,0.6902,-0.0240
0.4100,0.1510,0.3502,0.1966,2.8561,-8.7521,3.3783,0.2633,0.6978,-0.0700
0.4200,-0.4632,0.6428,0.1056,2.8684,-8.7634,3.3384,0.2129,0.5880,-0.1542
0.4300,-0.9574,0.7744,-0.0069,2.8668,-8.7753,3.3084,0.1501,0.3632,-0.2472
0.4400,-1.1009,0.7168,-0.0580,2.8490,-8.7874,3.2916,0.0817,0.0850,-0.3217
0.4500,-0.8324,0.4869,0.0213,2.8175,-8.7986,3.2889,0.0064,-0.1684,-0.3511
0.4600,-0.2936,0.1471,0.0686,2.7783,-8.8075,3.2984,-0.0543,-0.3272,-0.3367
0.4700,0.1893,-0.2257,-0.0399,2.7381,-8.8142,3.3141,-0.0761,-0.3610,-0.3063
0.4800,0.4391,-0.4265,-0.1801,2.7011,-8.8199,3.3293,-0.0591,-0.2901,-0.2786
0.4900,0.4564,-0.3677,-0.2596,2.6697,-8.8255,3.3397,-0.0314,-0.1902,-0.2464
0.5000,0.3488,-0.1968,-0.2780,2.6449,-8.8307,3.3458,-0.0160,-0.1147,-0.1986
0.5100,0.2068,-0.0534,-0.2439,2.6267,-8.8347,3.3493,-0.0071,-0.0900,-0.1342
0.5200,0.0589,0.0714,-0.1713,2.6146,-8.8372,3.3522,-0.0015,-0.1172,-0.0617
0.5300,-0.0150,0.2079,-0.1496,2.6074,-8.8379,3.3560,-0.0019,-0.1611,0.0013
0.5400,-0.0555,0.2325,-0.1838,2.6034,-8.8371,3.3612,-0.0062,-0.2091,0.0438
