seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0800,-0.1312,-0.0289,0.0719,9.0930,3.6714,-0.0920,0.0280,0.0186,0.0209
0.0900,-0.0996,-0.0267,0.0786,9.0925,3.6726,-0.0924,0.0280,0.0186,0.0209
0.1000,-0.0680,-0.0245,0.0852,9.0921,3.6737,-0.0928,0.0280,0.0186,0.0209
0.1100,0.0226,-0.0263,0.1026,9.0909,3.6767,-0.0939,0.0280,0.0186,0.0209
0.1200,0.0808,-0.0322,0.0985,9.0901,3.6786,-0.0945,0.0244,0.0023,-0.0141
0.1300,0.0642,-0.0054,0.0673,9.0900,3.6789,-0.0944,0.0266,-0.0091,-0.0349
0.1400,0.0374,0.0097,0.0600,9.0912,3.6758,-0.0927,0.0319,-0.0025,-0.0296
0.1500,0.0991,-0.0072,0.0859,9.0925,3.6727,-0.0907,0.0315,0.0076,-0.0224
0.1600,0.1150,0.0239,0.0951,9.0934,3.6704,-0.0895,0.0284,0.0115,-0.0284
0.1700,0.0709,0.0446,0.0227,9.0944,3.6680,-0.0890,0.0294,0.0258,-0.0261
0.1800,0.1313,0.0353,-0.0488,9.0955,3.6653,-0.0893,0.0284,0.0429,-0.0202
0.1900,0.2566,0.0700,-0.1129,9.0963,3.6633,-0.0914,0.0270,0.0382,-0.0127
0.2000,0.2928,0.1034,-0.1348,9.0968,3.6619,-0.0943,0.0280,0.0113,0.0116
0.2100,0.1691,0.1033,-0.0532,9.0968,3.6620,-0.0953,0.0372,-0.0070,0.0454
0.2200,0.0706,0.0667,0.0228,9.0955,3.6651,-0.0938,0.0484,-0.0188,0.0802
0.2300,-0.0395,-0.0122,0.0422,9.0930,3.6714,-0.0908,0.0474,-0.0258,0.0938
0.2400,-0.1247,-0.0590,0.0222,9.0897,3.6798,-0.0868,0.0402,-0.0203,0.0859
0.2500,-0.1541,-0.0584,0.0225,9.0864,3.6880,-0.0831,0.0309,-0.0013,0.0728
0.2600,-0.1720,-0.0390,0.0284,9.0836,3.6949,-0.0810,0.0217,0.0174,0.0470
0.2700,-0.1707,-0.0490,0.0253,9.0815,3.7001,-0.0812,0.0144,0.0404,0.0195
0.2800,-0.1035,-0.0578,0.0132,9.0804,3.7026,-0.0834,0.0068,0.0646,-0.0035
0.2900,-0.0091,-0.0326,-0.0203,9.0803,3.7029,-0.0882,-0.0003,0.0720,-0.0320
0.3000,0.1051,-0.0394,-0.0849,9.0810,3.7009,-0.0946,-0.0017,0.0697,-0.0528
0.3100,0.2286,-0.0653,-0.1255,9.0827,3.6965,-0.1011,-0.0021,0.0606,-0.0554
0.3200,0.2967,-0.0815,-0.0916,9.0848,3.6912,-0.1071,-0.0021,0.0329,-0.0473
0.3300,0.2485,-0.0693,-0.0410,9.0868,3.6861,-0.1114,0.0038,-0.0152,0.0010
0.3400,0.1174,-0.0699,-0.0126,9.0879,3.6836,-0.1118,0.0083,-0.0504,0.0454
0.3500,-0.0230,-0.0715,0.0003,9.0870,3.6859,-0.1080,0.0066,-0.0704,0.0735
0.3600,-0.1591,-0.0550,0.0383,9.0850,3.6910,-0.1022,0.0038,-0.0728,0.0873
0.3700,-0.2353,-0.0196,0.0963,9.0822,3.6979,-0.0955,0.0022,-0.0585,0.0863
0.3800,-0.2595,0.0152,0.1518,9.0792,3.7054,-0.0896,0.0001,-0.0315,0.0759
0.3900,-0.2167,0.0328,0.1767,9.0764,3.7125,-0.0857,-0.0052,-0.0036,0.0549
0.4000,-0.1626,0.0200,0.1714,9.0741,3.7181,-0.0845,-0.0107,0.0215,0.0242
0.4100,-0.1485,-0.0087,0.1127,9.0728,3.7213,-0.0855,-0.0103,0.0447,-0.0058
0.4200,-0.0613,-0.0353,0.0017,9.0726,3.7216,-0.0886,-0.0101,0.0587,-0.0330
0.4300,0.0743,-0.0451,-0.1172,9.0735,3.7194,-0.0935,-0.0072,0.0486,-0.0546
0.4400,0.1476,-0.0223,-0.1632,9.0752,3.7150,-0.0986,0.0005,0.0300,-0.0565
0.4500,0.1422,-0.0218,-0.1344,9.0774,3.7096,-0.1019,0.0044,0.0062,-0.0534
0.4600,0.1011,-0.0432,-0.0868,9.0794,3.7047,-0.1031,0.0003,-0.0044,-0.0387
0.4700,0.0938,-0.0589,-0.0807,9.0811,3.7005,-0.1028,-0.0064,-0.0203,-0.0251
0.4800,-0.0031,-0.0505,-0.0799,9.0822,3.6977,-0.1020,-0.0094,-0.0311,-0.0104
0.4900,-0.1387,-0.0760,-0.0875,9.0829,3.6960,-0.1000,-0.0074,-0.0135,0.0099
