seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0600,-0.0528,0.0335,-0.0080,1.7956,-9.2501,2.7168,0.0150,-0.0335,-0.0519
0.0700,-0.0336,0.0867,0.0289,1.7887,-9.2516,2.7163,0.0141,-0.0582,-0.0690
0.0800,-0.0182,0.1043,0.0693,1.7798,-9.2534,2.7162,0.0124,-0.0625,-0.0861
0.0900,-0.0129,0.0861,0.1037,1.7694,-9.2553,2.7163,0.0083,-0.0565,-0.0991
0.1000,-0.0107,0.0360,0.1509,1.7584,-9.2573,2.7167,0.0031,-0.0480,-0.1054
0.1100,-0.0189,-0.0145,0.1979,1.7474,-9.2591,2.7176,-0.0038,-0.0426,-0.1042
0.1200,-0.0506,-0.0575,0.2482,1.7367,-9.2607,2.7193,-0.0169,-0.0457,-0.0983
0.1300,-0.0791,-0.1098,0.3044,1.7264,-9.2616,2.7227,-0.0379,-0.0526,-0.0934
0.1400,-0.0825,-0.1647,0.3103,1.7161,-9.2619,2.7282,-0.0580,-0.0514,-0.0972
0.1500,-0.0761,-0.1346,0.1842,1.7050,-9.2620,2.7346,-0.0612,-0.0350,-0.1163
0.1600,-0.0550,0.0524,-0.0548,1.6921,-9.2628,2.7402,-0.0486,-0.0076,-0.1474
0.1700,0.0165,0.2449,-0.2672,1.6771,-9.2644,2.7439,-0.0352,0.0164,-0.1744
0.1800,0.1414,0.3202,-0.4479,1.6610,-9.2665,2.7464,-0.0226,0.0269,-0.1829
0.1900,0.3000,0.3475,-0.6392,1.6452,-9.2691,2.7472,-0.0026,0.0248,-0.1670
0.2000,0.4539,0.3689,-0.7913,1.6318,-9.2719,2.7457,0.0304,0.0171,-0.1285
0.2100,0.5772,0.3269,-0.8173,1.6228,-9.2749,2.7410,0.0685,0.0049,-0.0695
0.2200,0.6309,0.2178,-0.7430,1.6197,-9.2778,2.7330,0.1049,-0.0071,0.0025
0.2300,0.5428,0.1364,-0.7123,1.6227,-9.2808,2.7210,0.1532,-0.0159,0.0690
0.2400,0.4516,0.0188,-0.5415,1.6315,-9.2838,2.7055,0.1827,-0.0458,0.1404
0.2500,0.3635,-0.1137,-0.3308,1.6464,-9.2858,2.6894,0.1836,-0.0915,0.2172
0.2600,0.2089,-0.1564,-0.2946,1.6666,-9.2868,2.6737,0.1934,-0.1185,0.2754
0.2700,0.0758,-0.1511,-0.2354,1.6910,-9.2871,2.6570,0.2100,-0.1176,0.3115
0.2800,-0.0961,-0.1267,0.0047,1.7176,-9.2874,2.6389,0.2075,-0.0598,0.3060
0.2900,-0.2974,-0.0844,0.3669,1.7436,-9.2877,2.6209,0.1807,0.0410,0.2519
0.3000,-0.4198,-0.0586,0.5885,1.7660,-9.2883,2.6036,0.1573,0.1338,0.1766
0.3100,-0.4526,-0.0916,0.5680,1.7834,-9.2899,2.5861,0.1585,0.1727,0.1144
0.3200,-0.4238,-0.1228,0.5656,1.7966,-9.2922,2.5686,0.1535,0.1398,0.0835
0.3300,-0.4546,-0.1123,0.7031,1.8062,-9.2944,2.5538,0.1208,0.0702,0.0636
0.3400,-0.4982,-0.0489,0.7823,1.8119,-9.2961,2.5434,0.0901,-0.0067,0.0381
0.3500,-0.4447,0.0379,0.7599,1.8132,-9.2979,2.5362,0.0808,-0.0626,0.0090
0.3600,-0.3708,0.1330,0.7325,1.8107,-9.3000,2.5303,0.0739,-0.0869,-0.0199
0.3700,-0.3007,0.2382,0.7199,1.8054,-9.3021,2.5261,0.0473,-0.0901,-0.0424
0.3800,-0.2456,0.2802,0.6326,1.7984,-9.3038,2.5249,0.0126,-0.0952,-0.0555
0.3900,-0.2036,0.2423,0.4494,1.7902,-9.3049,2.5269,-0.0126,-0.1176,-0.0611
0.4000,-0.1770,0.1803,0.2526,1.7809,-9.3055,2.5311,-0.0230,-0.1487,-0.0641
0.4100,-0.1441,0.1434,0.0973,1.7705,-9.3061,2.5361,-0.0198,-0.1769,-0.0684
0.4200,-0.0973,0.1325,-0.0398,1.7590,-9.3070,2.5408,-0.0088,-0.1924,-0.0759
0.4300,-0.0546,0.1451,-0.1459,1.7467,-9.3083,2.5444,0.0046,-0.1887,-0.0812
0.4400,-0.0160,0.1587,-0.1988,1.7344,-9.3101,2.5465,0.0195,-0.1678,-0.0819
0.4500,0.0109,0.1193,-0.2108,1.7229,-9.3121,2.5468,0.0324,-0.1400,-0.0775
0.4600,0.0341,0.0525,-0.1996,1.7129,-9.3144,2.5454,0.0440,-0.1157,-0.0663
0.4700,0.0384,0.0007,-0.1805,1.7045,-9.3167,2.5426,0.0572,-0.0991,-0.0525
0.4800,0.0197,-0.0406,-0.1621,1.6978,-9.3191,2.5381,0.0726,-0.0851,-0.0418
0.4900,-0.0054,-0.0361,-0.1333,1.6922,-9.3219,2.5317,0.0912,-0.0689,-0.0378
0.5000,-0.0513,0.0148,-0.0892,1.6869,-9.3251,2.5233,0.1093,-0.0524,-0.0413
0.5100,-0.0987,0.0906,-0.0246,1.6814,-9.3289,2.5131,0.1230,-0.0352,-0.0519
0.5200,-0.1136,0.1616,0.0464,1.6753,-9.3331,2.5015,0.1336,-0.0176,-0.0626
0.5300,-0.1191,0.2299,0.0886,1.6688,-9.3377,2.4887,0.1414,-0.0015,-0.0704
0.5400,-0.1342,0.3130,0.1058,1.6620,-9.3425,2.4749,0.1489,0.0148,-0.0769
0.5500,-0.1540,0.3909,0.0952,1.6551,-9.3477,2.4600,0.1593,0.0291,-0.0811
0.5600,-0.1763,0.4604,0.0619,1.6480,-9.3531,2.4440,0.1715,0.0414,-0.0866
0.5700,-0.1903,0.4795,0.0425,1.6407,-9.3590,2.4264,0.1864,0.0591,-0.0952
0.5800,-0.1839,0.4182,0.0431,1.6330,-9.3654,2.4067,0.2094,0.0808,-0.1045
0.5900,-0.1876,0.3134,0.0374,1.6248,-9.3727,2.3839,0.2430,0.1059,-0.1192
0.6000,-0.2160,0.2193,0.0420,1.6153,-9.3811,2.3572,0.2813,0.1365,-0.1432
0.6100,-0.2470,0.1433,0.0730,1.6037,-9.3908,2.3263,0.3216,0.1640,-0.1757
0.6200,-0.3459,0.0489,0.0698,1.5891,-9.4020,2.2908,0.3744,0.1698,-0.2148
0.6300,-0.5151,-0.0121,0.0337,1.5704,-9.4150,2.2499,0.4383,0.1298,-0.2542
0.6400,-0.7270,0.0387,0.0266,1.5464,-9.4297,2.2045,0.4938,0.0094,-0.2859
0.6500,-0.8757,0.1033,0.0892,1.5160,-9.4456,2.1568,0.5355,-0.1680,-0.3197
0.6600,-0.7955,0.1043,0.2101,1.4776,-9.4627,2.1080,0.5658,-0.3089,-0.3825
0.6700,-0.6275,0.0987,0.3653,1.4298,-9.4808,2.0588,0.5712,-0.3909,-0.4702
0.6800,-0.6816,0.0392,0.5909,1.3724,-9.4994,2.0118,0.5465,-0.5447,-0.5267
0.6900,-0.6588,-0.0976,0.8283,1.3080,-9.5170,1.9709,0.4883,-0.7580,-0.5454
0.7000,-0.1084,-0.1820,0.9950,1.2381,-9.5329,1.9389,0.3863,-0.8138,-0.5922
0.7100,0.2971,-0.1584,1.0334,1.1632,-9.5467,1.9175,0.2587,-0.7815,-0.6436
0.7200,0.4248,-0.0954,0.9609,1.0856,-9.5578,1.9074,0.1403,-0.7674,-0.6552
0.7300,0.8466,-0.0780,0.8247,1.0092,-9.5665,1.9059,0.0558,-0.6702,-0.6424
0.7400,1.2107,-0.0230,0.5800,0.9380,-9.5732,1.9085,0.0167,-0.5008,-0.5995
0.7500,1.3121,0.1982,0.2585,0.8757,-9.5788,1.9106,0.0256,-0.3007,-0.5302
0.7600,1.3636,0.3071,0.0137,0.8258,-9.5838,1.9077,0.0691,-0.0602,-0.4275
0.7700,1.3970,0.1327,-0.0701,0.7926,-9.5886,1.8977,0.1265,0.2143,-0.2861
0.7800,1.2775,0.0101,-0.1570,0.7795,-9.5932,1.8796,0.1923,0.4848,-0.1249
0.7900,1.0205,0.0369,-0.2599,0.7864,-9.5979,1.8527,0.2678,0.7303,0.0300
0.8000,0.6743,0.2014,-0.4270,0.8107,-9.6029,1.8155,0.3689,0.9495,0.1465
0.8100,0.1730,0.6371,-0.8026,0.8460,-9.6095,1.7635,0.5378,1.1231,0.1866
0.8200,-0.2084,0.8929,-0.9023,0.8840,-9.6190,1.6918,0.7306,1.2957,0.1604
0.8300,-0.4231,0.5077,-0.4352,0.9195,-9.6311,1.6010,0.8764,1.5009,0.0932
0.8400,-0.8803,-0.0533,0.3588,0.9466,-9.6450,1.4986,0.9068,1.6745,-0.0601
0.8500,-1.6028,-0.3789,1.1434,0.9533,-9.6591,1.4005,0.7574,1.7119,-0.3266
0.8600,-2.0358,-0.5424,1.4321,0.9288,-9.6724,1.3231,0.5084,1.5797,-0.6399
0.8700,-1.8194,-0.5642,1.1242,0.8729,-9.6845,1.2715,0.2843,1.3570,-0.8892
0.8800,-1.1487,-0.4339,0.5924,0.7950,-9.6952,1.2408,0.1446,1.1280,-1.0145
0.8900,-0.3972,-0.2833,0.0947,0.7079,-9.7044,1.2217,0.0996,0.9279,-1.0163
0.9000,0.2514,-0.2330,-0.2171,0.6233,-9.7122,1.2055,0.1200,0.7831,-0.9206
0.9100,0.8767,-0.1894,-0.1628,0.5500,-9.7188,1.1879,0.1465,0.7497,-0.7588
0.9200,1.2938,-0.2010,0.0448,0.4950,-9.7241,1.1693,0.1493,0.7981,-0.5469
0.9300,1.3332,-0.2299,0.2065,0.4629,-9.7277,1.1519,0.1210,0.8448,-0.3040
0.9400,1.0979,-0.1469,0.3287,0.4548,-9.7297,1.1389,0.0625,0.8457,-0.0643
0.9500,0.6123,-0.0740,0.3306,0.4681,-9.7298,1.1322,0.0003,0.7619,0.1400
0.9600,0.0110,-0.0535,0.2738,0.4968,-9.7285,1.1316,-0.0488,0.5958,0.2805
0.9700,-0.5453,-0.0818,0.2070,0.5335,-9.7260,1.1355,-0.0781,0.3793,0.3461
