seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0500,0.0039,0.0442,0.0665,1.9989,-8.7676,-3.9121,-0.1026,-0.0115,-0.0008
0.0600,0.0089,0.0095,-0.0269,1.9987,-8.7712,-3.9039,-0.0798,-0.0022,-0.0084
0.0700,0.0001,-0.0290,-0.0802,1.9976,-8.7742,-3.8979,-0.0596,0.0062,-0.0156
0.0800,-0.0063,-0.0529,-0.1137,1.9957,-8.7765,-3.8936,-0.0444,0.0121,-0.0185
0.0900,0.0016,-0.0446,-0.1089,1.9935,-8.7785,-3.8903,-0.0377,0.0159,-0.0166
0.1000,0.0059,-0.0139,-0.0729,1.9916,-8.7803,-3.8872,-0.0415,0.0133,-0.0134
0.1100,0.0184,-0.0113,-0.0332,1.9902,-8.7824,-3.8833,-0.0544,0.0056,-0.0090
0.1200,0.0445,-0.0109,-0.0034,1.9896,-8.7849,-3.8777,-0.0721,-0.0037,-0.0041
0.1300,0.0956,0.0432,0.0018,1.9899,-8.7880,-3.8707,-0.0830,-0.0072,0.0039
0.1400,0.1157,0.1180,-0.0143,1.9910,-8.7910,-3.8632,-0.0839,-0.0041,0.0138
0.1500,0.1007,0.1971,-0.0641,1.9929,-8.7938,-3.8559,-0.0798,0.0002,0.0263
0.1600,0.0762,0.2879,-0.1144,1.9956,-8.7963,-3.8488,-0.0812,0.0027,0.0385
0.1700,0.0736,0.3436,-0.1567,1.9992,-8.7987,-3.8413,-0.0939,0.0116,0.0479
0.1800,0.1330,0.3266,-0.2140,2.0029,-8.8017,-3.8326,-0.1139,0.0311,0.0520
0.1900,0.1468,0.2055,-0.2685,2.0057,-8.8054,-3.8226,-0.1287,0.0523,0.0463
0.2000,0.1540,-0.0358,-0.2430,2.0068,-8.8095,-3.8125,-0.1265,0.0807,0.0347
0.2100,0.1825,-0.2648,-0.1058,2.0057,-8.8132,-3.8045,-0.0975,0.1200,0.0283
0.2200,0.0877,-0.3529,0.1329,2.0031,-8.8157,-3.8003,-0.0625,0.1436,0.0300
0.2300,-0.1321,-0.2319,0.3721,2.0006,-8.8173,-3.7979,-0.0558,0.1209,0.0319
0.2400,-0.3273,-0.0386,0.4136,2.0001,-8.8189,-3.7943,-0.0676,0.0580,0.0374
0.2500,-0.3493,0.0050,0.3146,2.0032,-8.8210,-3.7878,-0.0895,-0.0170,0.0489
0.2600,-0.2908,-0.0528,0.2178,2.0097,-8.8239,-3.7776,-0.1197,-0.0789,0.0530
0.2700,-0.2255,-0.1119,0.1141,2.0175,-8.8279,-3.7640,-0.1430,-0.1123,0.0389
0.2800,-0.0348,-0.1175,0.0135,2.0241,-8.8330,-3.7486,-0.1494,-0.1050,0.0151
0.2900,0.2721,-0.0634,-0.0254,2.0279,-8.8381,-3.7344,-0.1310,-0.0505,0.0032
0.3000,0.4473,0.0633,0.0327,2.0288,-8.8423,-3.7240,-0.0957,0.0197,0.0070
0.3100,0.3889,0.2466,0.0666,2.0284,-8.8449,-3.7181,-0.0595,0.0667,0.0232
