seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0900,-0.8528,3.3654,0.3587,9.7971,0.4215,-0.0498,0.0292,0.0418,0.0521
0.1000,-0.8555,3.3644,0.4691,9.7942,0.4839,-0.0477,0.0292,0.0418,0.0521
0.1100,-0.9022,3.2951,0.5630,9.7898,0.5727,-0.0447,0.0204,0.0241,0.0301
0.1200,-0.9315,3.0585,0.6370,9.7868,0.6226,-0.0408,0.0021,0.0501,-0.0044
0.1300,-0.8531,2.8684,0.4578,9.7838,0.6678,-0.0388,-0.0346,0.0754,-0.0582
0.1400,-1.0072,3.0910,0.0740,9.7810,0.7074,-0.0393,-0.0715,0.0696,-0.1122
0.1500,-0.9855,3.3028,-0.1136,9.7785,0.7410,-0.0408,-0.0520,0.1008,-0.1101
0.1600,-0.7566,3.1332,-0.1435,9.7758,0.7753,-0.0468,0.0008,0.0748,-0.1104
0.1700,-0.5728,2.9304,0.0378,9.7728,0.8118,-0.0510,0.0350,-0.0006,-0.1306
0.1800,-0.2967,2.8402,0.3195,9.7697,0.8493,-0.0478,0.0473,-0.0440,-0.1342
0.1900,-0.1625,2.7718,0.5100,9.7660,0.8913,-0.0395,0.0449,-0.0453,-0.1127
0.2000,-0.1055,2.6474,0.5017,9.7608,0.9463,-0.0292,0.0225,-0.0025,-0.0412
0.2100,-0.2320,2.7182,0.2879,9.7556,0.9984,-0.0253,-0.0255,0.0459,0.0407
0.2200,-0.4647,2.8139,0.1094,9.7497,1.0543,-0.0256,-0.0624,0.0616,0.0887
0.2300,-0.7280,2.7386,0.0155,9.7432,1.1128,-0.0274,-0.0475,0.0608,0.0954
0.2400,-0.9277,2.6209,0.0389,9.7362,1.1723,-0.0293,-0.0072,0.0600,0.0625
0.2500,-0.9412,2.4591,0.1748,9.7290,1.2312,-0.0311,0.0278,0.0716,0.0128
0.2600,-0.8595,2.3225,0.3093,9.7215,1.2888,-0.0340,0.0453,0.0974,-0.0393
0.2700,-0.7910,2.2913,0.3938,9.7145,1.3407,-0.0387,0.0390,0.1357,-0.0931
0.2800,-0.6958,2.2019,0.3402,9.7079,1.3871,-0.0473,0.0223,0.1935,-0.1206
0.2900,-0.5083,2.0809,0.1861,9.7015,1.4306,-0.0608,0.0044,0.2249,-0.1277
0.3000,-0.4178,2.0581,0.0384,9.6948,1.4749,-0.0751,-0.0121,0.1866,-0.1051
0.3100,-0.4076,2.0501,-0.0454,9.6870,1.5244,-0.0839,-0.0213,0.1015,-0.0459
0.3200,-0.4322,2.0389,-0.0187,9.6781,1.5803,-0.0858,-0.0276,0.0207,0.0185
0.3300,-0.5019,2.0435,0.0969,9.6680,1.6412,-0.0810,-0.0294,-0.0522,0.0633
0.3400,-0.6329,2.0435,0.2023,9.6570,1.7050,-0.0706,-0.0215,-0.0985,0.0783
0.3500,-0.6764,2.0113,0.2484,9.6454,1.7699,-0.0561,-0.0115,-0.1105,0.0728
0.3600,-0.6164,1.9510,0.2754,9.6333,1.8350,-0.0424,-0.0084,-0.0758,0.0574
0.3700,-0.5372,1.8870,0.3003,9.6211,1.8982,-0.0314,-0.0082,-0.0427,0.0250
0.3800,-0.4735,1.8437,0.2681,9.6092,1.9575,-0.0231,-0.0066,-0.0021,-0.0021
0.3900,-0.3970,1.7563,0.1647,9.5974,2.0146,-0.0187,-0.0059,0.0535,-0.0053
0.4000,-0.3541,1.6825,0.0879,9.5876,2.0609,-0.0185,-0.0119,0.0795,-0.0078
0.4100,-0.3797,1.6011,0.0183,9.5737,2.1243,-0.0215,-0.0208,0.0806,0.0017
0.4200,-0.4652,1.5519,-0.0238,9.5635,2.1699,-0.0241,-0.0249,0.0653,0.0126
0.4300,-0.5937,1.4634,-0.0497,9.5483,2.2357,-0.0262,-0.0199,0.0318,0.0261
0.4400,-0.6754,1.3926,-0.0496,9.5367,2.2849,-0.0258,-0.0099,0.0050,0.0244
0.4500,-0.7514,1.3115,-0.0151,9.5201,2.3532,-0.0224,0.0118,-0.0305,-0.0078
0.4600,-0.7051,1.2342,0.0622,9.5089,2.3978,-0.0180,0.0282,-0.0482,-0.0387
0.4700,-0.5568,1.1934,0.1839,9.4947,2.4538,-0.0091,0.0308,-0.0727,-0.0796
0.4800,-0.4491,1.1895,0.2365,9.4851,2.4904,-0.0007,0.0227,-0.0744,-0.0866
0.4900,-0.2502,1.1361,0.2330,9.4714,2.5422,0.0112,0.0109,-0.0471,-0.0707
0.5000,-0.1479,1.0955,0.2168,9.4584,2.5900,0.0195,-0.0001,-0.0180,-0.0585
0.5100,-0.1488,1.0643,0.1819,9.4470,2.6312,0.0252,-0.0048,0.0009,-0.0516
0.5200,-0.1343,1.0136,0.1159,9.4313,2.6870,0.0310,-0.0077,0.0244,-0.0426
0.5300,-0.1117,0.9692,0.0911,9.4207,2.7239,0.0334,-0.0086,0.0272,-0.0312
0.5400,-0.1070,0.8736,0.0715,9.4064,2.7728,0.0363,-0.0080,0.0139,-0.0104
0.5500,-0.0935,0.7791,0.0376,9.3944,2.8130,0.0398,-0.0076,-0.0017,0.0122
0.5600,-0.0625,0.7465,-0.0223,9.3827,2.8520,0.0439,-0.0096,-0.0121,0.0305
0.5700,-0.0974,0.7451,-0.0669,9.3712,2.8893,0.0478,-0.0103,-0.0272,0.0439
0.5800,-0.1930,0.7381,-0.0669,9.3599,2.9258,0.0526,-0.0074,-0.0480,0.0594
0.5900,-0.2708,0.7150,-0.0633,9.3483,2.9625,0.0577,0.0042,-0.0531,0.0701
0.6000,-0.3121,0.7036,-0.0272,9.3385,2.9931,0.0619,0.0148,-0.0589,0.0684
0.6100,-0.3822,0.6893,0.0344,9.3248,3.0353,0.0686,0.0237,-0.0644,0.0606
0.6200,-0.4071,0.6651,0.0663,9.3150,3.0651,0.0738,0.0240,-0.0602,0.0555
0.6300,-0.3962,0.6336,0.1077,9.3014,3.1062,0.0807,0.0210,-0.0522,0.0392
0.6400,-0.3807,0.6075,0.1550,9.2922,3.1334,0.0856,0.0189,-0.0496,0.0199
0.6500,-0.3690,0.5554,0.1855,9.2805,3.1676,0.0930,0.0138,-0.0408,-0.0058
0.6600,-0.3292,0.5055,0.1659,9.2718,3.1928,0.0991,0.0079,-0.0227,-0.0271
0.6700,-0.2232,0.4599,0.1342,9.2640,3.2152,0.1037,0.0056,0.0003,-0.0391
0.6800,-0.1021,0.4375,0.1303,9.2570,3.2352,0.1067,0.0003,0.0105,-0.0514
0.6900,-0.0334,0.4393,0.1194,9.2506,3.2534,0.1096,-0.0066,0.0119,-0.0512
0.7000,0.0160,0.4014,0.0801,9.2442,3.2713,0.1122,-0.0060,0.0180,-0.0398
0.7100,0.0597,0.3872,0.0675,9.2380,3.2887,0.1144,-0.0025,0.0119,-0.0286
0.7200,0.0082,0.3841,0.0429,9.2321,3.3053,0.1175,-0.0005,-0.0052,-0.0096
0.7300,-0.0726,0.3551,0.0125,9.2259,3.3224,0.1216,0.0018,-0.0180,0.0122
0.7400,-0.1546,0.3284,0.0007,9.2194,3.3403,0.1262,0.0048,-0.0250,0.0258
0.7500,-0.1886,0.2993,0.0138,9.2138,3.3554,0.1299,0.0089,-0.0254,0.0228
0.7600,-0.1818,0.2636,0.0591,9.2067,3.3748,0.1348,0.0146,-0.0223,0.0060
0.7700,-0.1651,0.2527,0.0797,9.2023,3.3865,0.1382,0.0148,-0.0170,-0.0035
0.7800,-0.1068,0.2651,0.0477,9.1971,3.4005,0.1423,0.0103,-0.0046,-0.0081
0.7900,-0.0560,0.2909,-0.0053,9.1938,3.4093,0.1442,0.0054,-0.0015,-0.0057
0.8000,-0.0510,0.2987,-0.0523,9.1900,3.4195,0.1457,0.0003,-0.0150,0.0004
0.8100,-0.0529,0.2787,-0.0736,9.1855,3.4315,0.1486,-0.0047,-0.0434,0.0127
0.8200,-0.0611,0.2827,-0.0380,9.1821,3.4403,0.1517,-0.0023,-0.0514,0.0175
0.8300,-0.1438,0.2784,0.0085,9.1775,3.4525,0.1567,0.0045,-0.0507,0.0148
0.8400,-0.1729,0.2644,0.0134,9.1742,3.4610,0.1602,0.0095,-0.0431,0.0075
0.8500,-0.1851,0.2559,0.0431,9.1700,3.4718,0.1644,0.0152,-0.0370,-0.0075
0.8600,-0.1961,0.2301,0.0409,9.1674,3.4786,0.1674,0.0154,-0.0388,-0.0190
0.8700,-0.1436,0.1178,0.1640,9.1644,3.4862,0.1720,0.0137,-0.0425,-0.0353
0.8800,-0.1534,0.0346,0.1412,9.1631,3.4897,0.1761,0.0056,-0.0559,-0.0479
0.8900,-0.1575,0.1817,-0.1128,9.1624,3.4910,0.1838,-0.0217,-0.0708,-0.0640
0.9000,0.0572,0.2609,-0.1047,9.1624,3.4908,0.1885,-0.0242,-0.0284,-0.0579
0.9100,0.1493,0.2516,0.0227,9.1620,3.4918,0.1892,0.0030,-0.0123,-0.0408
0.9200,0.1321,0.2013,0.1303,9.1609,3.4945,0.1913,0.0164,-0.0360,-0.0173
0.9300,0.1241,0.1728,0.1381,9.1597,3.4975,0.1947,0.0077,-0.0300,0.0052
0.9400,0.0782,0.1741,0.0906,9.1574,3.5034,0.1983,-0.0050,-0.0024,0.0289
0.9500,0.0338,0.1762,0.0407,9.1554,3.5085,0.1987,-0.0058,0.0227,0.0370
0.9600,-0.0271,0.1773,-0.0095,9.1525,3.5161,0.1963,0.0008,0.0476,0.0414
0.9700,0.0376,0.1390,0.0008,9.1504,3.5217,0.1931,0.0077,0.0642,0.0399
0.9800,-0.0321,0.0978,-0.0295,9.1479,3.5286,0.1867,0.0176,0.0738,0.0374
0.9900,-0.1123,0.0979,-0.0416,9.1459,3.5341,0.1821,0.0193,0.0522,0.0395
1.0000,-0.1541,0.0693,-0.0388,9.1439,3.5395,0.1784,0.0075,0.0351,0.0415
1.0100,-0.1615,0.0779,-0.0083,9.1416,3.5453,0.1767,-0.0019,0.0052,0.0474
1.0200,-0.1344,0.1238,-0.0019,9.1393,3.5513,0.1767,-0.0095,-0.0095,0.0417
1.0300,-0.1111,0.1539,-0.0014,9.1375,3.5559,0.1773,-0.0072,-0.0109,0.0317
1.0400,-0.0156,0.1721,0.0101,9.1354,3.5612,0.1782,0.0005,-0.0031,0.0151
1.0500,0.0345,0.1770,0.0729,9.1344,3.5640,0.1785,0.0044,0.0062,0.0054
1.0600,0.0872,0.2254,0.1986,9.1332,3.5670,0.1781,0.0085,0.0325,0.0044
1.0700,0.1098,0.2432,0.2215,9.1321,3.5700,0.1752,0.0123,0.0750,0.0054
1.0800,0.1573,0.1984,0.1793,9.1309,3.5733,0.1695,0.0130,0.1131,0.0024
1.0900,0.1080,0.1390,0.1335,9.1300,3.5760,0.1610,0.0046,0.1359,-0.0055
1.1000,0.0271,0.0932,0.0530,9.1294,3.5779,0.1513,-0.0050,0.1398,-0.0080
1.1100,-0.0553,0.0322,-0.0515,9.1288,3.5799,0.1409,-0.0109,0.1365,0.0014
1.1200,-0.1311,-0.0125,-0.1442,9.1280,3.5822,0.1306,-0.0172,0.1113,0.0154
1.1300,-0.1802,-0.0063,-0.2044,9.1268,3.5856,0.1222,-0.0215,0.0677,0.0325
1.1400,-0.2384,0.0198,-0.2338,9.1252,3.5899,0.1173,-0.0184,0.0117,0.0437
1.1500,-0.2675,0.0569,-0.2308,9.1232,3.5950,0.1175,-0.0048,-0.0406,0.0504
1.1600,-0.2756,0.0960,-0.1894,9.1209,3.6006,0.1215,0.0093,-0.0701,0.0433
1.1700,-0.2417,0.1389,-0.1024,9.1189,3.6056,0.1279,0.0191,-0.0913,0.0250
1.1800,-0.1556,0.1538,0.0033,9.1174,3.6091,0.1356,0.0244,-0.0972,-0.0003
1.1900,-0.0447,0.1403,0.0735,9.1167,3.6106,0.1436,0.0262,-0.0915,-0.0247
1.2000,0.0941,0.1424,0.1304,9.1167,3.6101,0.1513,0.0223,-0.0830,-0.0377
1.2100,0.1903,0.1477,0.1359,9.1171,3.6088,0.1586,0.0144,-0.0722,-0.0324
1.2200,0.2181,0.1116,0.1377,9.1172,3.6082,0.1648,0.0077,-0.0565,-0.0137
1.2300,0.1985,0.1052,0.1504,9.1168,3.6090,0.1696,0.0036,-0.0382,0.0101
