seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0700,0.0273,0.0241,-0.0102,8.9740,3.9473,0.2400,0.0005,-0.0101,-0.0664
0.0800,0.0242,0.0279,-0.0085,8.9759,3.9428,0.2407,0.0005,-0.0101,-0.0664
0.0900,0.0211,0.0318,-0.0067,8.9778,3.9384,0.2414,0.0005,-0.0101,-0.0664
0.1000,0.0067,0.0411,0.0040,8.9814,3.9301,0.2426,0.0005,-0.0101,-0.0664
0.1100,-0.0134,0.0510,0.0126,8.9840,3.9242,0.2435,-0.0021,-0.0060,-0.0410
0.1200,-0.0235,0.0571,0.0215,8.9845,3.9229,0.2435,-0.0066,0.0062,-0.0005
0.1300,-0.0303,0.0627,0.0290,8.9849,3.9220,0.2423,-0.0044,0.0188,-0.0253
0.1400,-0.0323,0.0557,0.0249,8.9861,3.9195,0.2401,-0.0017,0.0323,-0.0389
0.1500,-0.0237,0.0412,0.0082,8.9879,3.9157,0.2368,-0.0003,0.0396,-0.0540
0.1600,-0.0020,0.0303,-0.0171,8.9902,3.9106,0.2334,-0.0054,0.0366,-0.0536
0.1700,0.0217,0.0246,-0.0430,8.9920,3.9067,0.2298,-0.0105,0.0292,-0.0357
0.1800,0.0443,0.0300,-0.0566,8.9933,3.9037,0.2274,-0.0086,0.0056,-0.0265
0.1900,0.0516,0.0436,-0.0487,8.9940,3.9021,0.2274,0.0011,-0.0199,-0.0051
0.2000,0.0406,0.0560,-0.0234,8.9938,3.9024,0.2301,0.0113,-0.0335,0.0087
0.2100,0.0276,0.0636,0.0087,8.9932,3.9035,0.2331,0.0148,-0.0148,0.0114
0.2200,0.0130,0.0695,0.0341,8.9927,3.9048,0.2340,0.0068,0.0068,0.0114
0.2300,-0.0096,0.0691,0.0405,8.9921,3.9061,0.2332,-0.0023,0.0129,0.0095
0.2400,-0.0355,0.0576,0.0315,8.9917,3.9072,0.2319,-0.0080,0.0178,0.0050
0.2500,-0.0488,0.0363,0.0098,8.9915,3.9078,0.2296,-0.0115,0.0276,-0.0062
0.2600,-0.0500,0.0178,-0.0191,8.9919,3.9071,0.2266,-0.0141,0.0280,-0.0208
0.2700,-0.0500,0.0091,-0.0434,8.9927,3.9054,0.2238,-0.0123,0.0176,-0.0245
0.2800,-0.0493,0.0102,-0.0531,8.9935,3.9036,0.2223,-0.0019,0.0042,-0.0231
0.2900,-0.0444,0.0206,-0.0452,8.9942,3.9019,0.2224,0.0091,-0.0042,-0.0190
0.3000,-0.0361,0.0354,-0.0284,8.9947,3.9007,0.2231,0.0128,-0.0080,-0.0131
0.3100,-0.0285,0.0474,-0.0090,8.9951,3.8998,0.2245,0.0068,-0.0170,-0.0149
0.3200,-0.0234,0.0518,0.0045,8.9955,3.8987,0.2262,-0.0001,-0.0166,-0.0186
0.3300,-0.0191,0.0482,0.0123,8.9960,3.8975,0.2272,-0.0019,-0.0048,-0.0178
0.3400,-0.0196,0.0407,0.0179,8.9966,3.8962,0.2271,-0.0068,0.0036,-0.0147
0.3500,-0.0207,0.0380,0.0236,8.9968,3.8957,0.2262,-0.0084,0.0139,-0.0070
0.3600,-0.0177,0.0384,0.0288,8.9970,3.8953,0.2242,-0.0044,0.0282,-0.0117
0.3700,-0.0006,0.0408,0.0293,8.9975,3.8945,0.2213,0.0013,0.0333,-0.0141
0.3800,0.0197,0.0425,0.0238,8.9979,3.8936,0.2188,0.0005,0.0164,-0.0153
0.3900,0.0352,0.0405,0.0163,8.9985,3.8924,0.2183,-0.0058,-0.0080,-0.0149
0.4000,0.0509,0.0348,0.0115,8.9987,3.8917,0.2191,-0.0076,-0.0158,-0.0015
0.4100,0.0551,0.0287,0.0077,8.9985,3.8922,0.2206,-0.0037,-0.0223,0.0111
0.4200,0.0470,0.0272,0.0063,8.9978,3.8937,0.2228,-0.0003,-0.0264,0.0232
0.4300,0.0283,0.0270,-0.0000,8.9966,3.8963,0.2251,-0.0015,-0.0239,0.0333
0.4400,0.0041,0.0247,-0.0092,8.9952,3.8994,0.2271,-0.0025,-0.0178,0.0354
0.4500,-0.0224,0.0198,-0.0111,8.9937,3.9027,0.2282,-0.0007,-0.0091,0.0291
0.4600,-0.0486,0.0122,-0.0096,8.9928,3.9047,0.2290,0.0020,-0.0066,0.0114
