seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.0800,0.2433,-3.6573,-2.2662,2.7643,-3.2047,8.8189,3.5257,-7.1596,3.2130
0.0900,0.4211,-3.6044,-1.9911,2.4481,-3.3487,8.8451,3.5257,-7.1596,3.2130
0.1000,0.5988,-3.5514,-1.7161,2.1320,-3.4926,8.8712,3.5257,-7.1596,3.2130
0.1100,0.9715,-3.5697,-0.5854,1.3293,-3.8718,8.9071,3.5257,-7.1596,3.2130
0.1200,1.1077,-3.8019,1.1188,0.8244,-4.1512,8.8421,2.7698,-3.7941,2.1558
0.1300,1.3213,-3.7005,2.6755,0.4592,-4.4122,8.7452,2.0950,-1.6190,1.5380
0.1400,1.3139,-3.4784,4.0331,0.3692,-4.6016,8.6516,1.6595,-0.9815,1.4702
0.1500,1.1932,-3.2094,5.1782,0.3383,-4.7524,8.5712,1.2064,-0.5028,1.4061
0.1600,0.9751,-2.8977,5.9884,0.3520,-4.8638,8.5081,0.7711,-0.1373,1.2816
0.1700,0.7173,-2.6026,6.4122,0.3960,-4.9362,8.4644,0.4386,0.2032,1.1283
0.1800,0.4605,-2.4053,6.4686,0.4620,-4.9764,8.4375,0.2626,0.4925,0.9980
0.1900,0.2207,-2.2349,6.2255,0.5479,-4.9966,8.4203,0.2101,0.6367,0.9088
0.2000,0.0118,-2.0036,5.7354,0.6458,-5.0093,8.4058,0.2482,0.6165,0.8536
0.2100,-0.1454,-1.7481,5.1606,0.7432,-5.0222,8.3900,0.3730,0.4962,0.8601
0.2200,-0.2505,-1.5004,4.6616,0.8315,-5.0425,8.3696,0.6275,0.1924,0.9878
0.2300,-0.3691,-1.2977,4.3884,0.9054,-5.0783,8.3402,0.8159,-0.0947,1.1306
0.2400,-0.5351,-1.1471,4.3727,0.9597,-5.1324,8.3009,0.8470,-0.2566,1.2423
0.2500,-0.7983,-0.9407,4.5407,1.0042,-5.1912,8.2590,0.7831,-0.2077,1.2857
0.2600,-0.9896,-0.6283,4.7935,1.0503,-5.2449,8.2193,0.6560,-0.0634,1.2546
0.2700,-1.1655,-0.2802,5.0322,1.1080,-5.2891,8.1833,0.4514,0.0503,1.1550
0.2800,-1.4937,0.0910,5.1107,1.1729,-5.3187,8.1551,0.1798,0.0806,1.0033
0.2900,-2.1673,0.5120,4.9205,1.2359,-5.3285,8.1394,-0.1118,0.0277,0.6877
0.3000,-2.8265,0.8806,4.5214,1.2838,-5.3170,8.1394,-0.3680,-0.0627,0.2212
0.3100,-3.0945,1.1154,4.0660,1.3020,-5.2885,8.1551,-0.5683,-0.1238,-0.2378
0.3200,-2.9538,1.1956,3.5765,1.2882,-5.2482,8.1833,-0.6675,-0.0723,-0.5123
0.3300,-2.6497,1.1417,3.0034,1.2562,-5.2007,8.2185,-0.7105,0.0731,-0.6004
0.3400,-2.1162,1.0827,2.4112,1.2272,-5.1505,8.2544,-0.7561,0.1671,-0.4599
0.3500,-1.2247,1.0018,2.1669,1.2120,-5.0959,8.2905,-0.8418,0.1018,-0.0417
0.3600,-0.2290,0.9843,2.1014,1.2131,-5.0313,8.3296,-0.9813,-0.0837,0.5891
0.3700,0.5874,1.0875,1.8778,1.2298,-4.9493,8.3761,-1.0896,-0.3391,1.2108
0.3800,0.7988,1.2713,1.3686,1.2586,-4.8474,8.4312,-1.0792,-0.5873,1.5671
0.3900,0.3198,1.4435,0.5481,1.2867,-4.7356,8.4903,-0.8894,-0.6288,1.4726
0.4000,-0.2976,1.4928,-0.3775,1.3047,-4.6324,8.5444,-0.5182,-0.3319,1.0929
0.4100,-0.8904,1.5987,-1.1603,1.3214,-4.5595,8.5810,-0.0825,0.2097,0.4226
0.4200,-0.9679,1.5788,-1.4544,1.3526,-4.5300,8.5918,0.1421,0.7615,-0.1901
0.4300,-0.4254,1.4696,-1.3928,1.3990,-4.5357,8.5813,0.0900,1.1682,-0.3899
0.4400,0.1530,1.4437,-1.3518,1.4663,-4.5466,8.5643,-0.0937,1.4528,-0.2909
0.4500,0.4145,1.5563,-1.3801,1.5615,-4.5427,8.5494,-0.3089,1.4726,-0.1132
0.4600,0.0440,1.7606,-1.5949,1.6782,-4.5203,8.5392,-0.4256,1.3661,-0.1628
0.4700,-0.5438,1.8912,-1.9394,1.7912,-4.4849,8.5349,-0.4466,1.1897,-0.5119
0.4800,-0.9305,2.0147,-2.3311,1.8818,-4.4528,8.5323,-0.4889,0.8395,-0.7299
0.4900,-0.9003,2.0575,-2.7745,1.9346,-4.4261,8.5344,-0.5123,0.3180,-0.6528
0.5000,-0.7464,2.0611,-3.4696,1.9467,-4.3962,8.5471,-0.4136,-0.2000,-0.3821
0.5100,-0.5526,2.0469,-4.3966,1.9221,-4.3661,8.5681,-0.1682,-0.6475,-0.1093
0.5200,-0.3756,2.0046,-5.1767,1.8703,-4.3469,8.5892,0.1568,-0.9650,0.1133
0.5300,-0.3212,1.9828,-5.3992,1.7968,-4.3499,8.6034,0.3514,-1.0002,0.2996
0.5400,-0.4780,2.0780,-5.1690,1.7190,-4.3724,8.6079,0.3610,-0.8131,0.3419
0.5500,-0.6248,2.1627,-4.8715,1.6575,-4.3989,8.6065,0.2979,-0.5641,0.2676
0.5600,-0.7091,2.2022,-4.4474,1.6149,-4.4217,8.6029,0.3054,-0.3547,0.1420
0.5700,-0.7662,1.9552,-3.7995,1.5874,-4.4436,8.5968,0.2897,-0.0507,0.1202
0.5800,-0.8153,1.7116,-3.2609,1.5774,-4.4681,8.5859,0.1437,0.2431,0.1084
0.5900,-0.5907,1.5001,-2.7527,1.5963,-4.4841,8.5741,-0.1556,0.3366,0.0475
0.6000,-0.0168,1.2595,-2.1042,1.6281,-4.4797,8.5704,-0.3264,0.1462,0.0565
0.6100,0.4602,1.1246,-1.5557,1.6507,-4.4533,8.5798,-0.3187,-0.1772,0.1416
0.6200,0.5751,1.3142,-1.3873,1.6499,-4.4227,8.5958,-0.1413,-0.8129,0.0190
0.6300,0.3086,1.9400,-1.5560,1.6067,-4.4020,8.6144,0.1069,-1.4007,-0.1718
0.6400,0.3271,2.0770,-1.5805,1.4949,-4.4058,8.6325,0.3706,-1.9082,-0.3803
0.6500,0.6549,1.7950,-1.3322,1.3315,-4.4342,8.6444,0.5345,-2.2085,-0.5322
0.6600,1.2742,1.5216,-0.6986,1.1240,-4.4832,8.6484,0.5630,-2.2955,-0.5848
0.6700,1.8377,1.2142,0.2472,0.9004,-4.5381,8.6460,0.5017,-1.9151,-0.4100
0.6800,2.2353,0.8220,1.2503,0.6952,-4.5881,8.6389,0.3217,-1.0566,-0.0710
0.6900,2.4017,0.6326,1.7743,0.5663,-4.6237,8.6296,0.0057,-0.2269,0.1801
0.7000,2.2411,0.6468,1.7404,0.5322,-4.6331,8.6267,-0.3185,0.2952,0.0844
0.7100,1.8198,0.5827,1.3933,0.5593,-4.6105,8.6371,-0.4633,0.4691,-0.1875
0.7200,1.4425,0.5403,0.9188,0.6029,-4.5681,8.6567,-0.4659,0.4329,-0.4216
0.7300,1.3599,0.4999,0.4471,0.6368,-4.5238,8.6775,-0.4272,0.1847,-0.5672
0.7400,1.4517,0.4147,0.2046,0.6480,-4.4840,8.6973,-0.3234,-0.0988,-0.5269
0.7500,1.4035,0.0948,0.3151,0.6308,-4.4515,8.7153,-0.1851,-0.2757,-0.3764
0.7600,1.2139,-0.1400,0.6375,0.6001,-4.4305,8.7281,-0.0572,-0.3372,-0.2520
0.7700,1.0283,-0.3946,1.1683,0.5662,-4.4210,8.7352,-0.0265,-0.3014,-0.1810
0.7800,0.8405,-0.7150,1.7476,0.5346,-4.4185,8.7385,-0.0949,-0.1613,-0.0930
0.7900,0.6402,-0.9568,2.1010,0.5123,-4.4129,8.7427,-0.2790,0.0435,-0.0240
0.8000,0.5581,-1.2354,2.1007,0.5081,-4.3953,8.7518,-0.5184,0.1751,0.0685
0.8100,0.4713,-1.3816,1.8389,0.5223,-4.3568,8.7701,-0.7931,0.1649,0.1037
0.8200,0.4729,-1.5447,1.3421,0.5430,-4.2950,8.7992,-0.9898,0.0030,0.1623
0.8300,0.5190,-1.5214,0.7432,0.5552,-4.2114,8.8387,-1.0061,-0.1959,0.2403
0.8400,0.6247,-1.3890,0.1419,0.5524,-4.1196,8.8821,-0.8451,-0.4346,0.3067
0.8500,0.7390,-0.9716,-0.3491,0.5331,-4.0364,8.9214,-0.6622,-0.7117,0.3808
0.8600,0.9148,-0.4899,-0.8255,0.4922,-3.9705,8.9533,-0.4769,-0.9980,0.3890
0.8700,1.0331,0.1942,-1.1214,0.4274,-3.9204,8.9786,-0.2983,-1.1601,0.2874
0.8800,1.1948,0.8472,-1.2282,0.3414,-3.8887,8.9961,-0.0986,-1.1778,0.1682
0.8900,1.3827,1.2012,-1.1906,0.2486,-3.8756,9.0048,0.1008,-1.1456,0.1758
0.9000,1.4388,1.1879,-1.2197,0.1597,-3.8814,9.0043,0.3647,-1.0914,0.2658
0.9100,1.2845,1.0018,-1.1299,0.0794,-3.9068,8.9944,0.7241,-1.0147,0.3132
0.9200,0.9088,0.6932,-0.6678,0.0066,-3.9605,8.9712,1.0517,-0.8328,0.3004
0.9300,0.4417,0.1309,0.0176,-0.0546,-4.0454,8.9330,0.8562,-0.1678,0.4275
0.9400,0.2193,-0.5563,0.5148,-0.0725,-4.1340,8.8923,0.3013,0.4007,0.6083
0.9500,0.2990,-0.9986,0.6269,-0.0165,-4.1780,8.8720,0.0197,0.6752,0.6242
0.9600,0.3453,-1.5653,0.4738,0.0721,-4.1827,8.8695,0.0900,1.1734,0.5344
0.9700,0.3802,-2.2260,0.1643,0.1856,-4.1860,8.8661,0.3042,2.0016,0.4213
0.9800,0.4223,-2.7274,-0.2026,0.3574,-4.2065,8.8508,0.5644,2.7892,0.2483
0.9900,0.4162,-2.9607,-0.4290,0.5965,-4.2493,8.8170,0.7646,3.0390,-0.0456
1.0000,0.4708,-3.0249,-0.2668,0.8660,-4.3136,8.7633,0.8664,2.5489,-0.4172
1.0100,0.8061,-3.1249,0.4624,1.0973,-4.3916,8.6989,0.9159,1.7265,-0.5943
1.0200,1.4628,-3.2058,1.6623,1.2467,-4.4767,8.6354,0.9256,0.7902,-0.4274
1.0300,2.0806,-3.1433,3.0336,1.3191,-4.5632,8.5794,0.7697,-0.1760,0.0159
1.0400,2.3403,-2.9179,4.2971,1.3244,-4.6378,8.5385,0.3512,-0.8837,0.4932
1.0500,2.3074,-2.6215,5.2765,1.2815,-4.6779,8.5232,-0.4209,-0.9697,0.8029
1.0600,2.0257,-2.3057,5.6308,1.2280,-4.6585,8.5416,-0.9904,-0.5392,0.8225
1.0700,1.4230,-2.0024,5.2657,1.2051,-4.5748,8.5899,-1.2148,0.1338,0.5191
1.0800,0.6451,-1.7728,4.5739,1.2256,-4.4660,8.6440,-1.2851,1.0236,0.0797
